,access,air_conditioning,alt_name,amenity,area,backrest,bench,bin,boundingbox,bridge,building,building:colour,building:levels,building:part,building:roof,bus,camera:angle,city,colour,contact:website,covered,description,display_name,drinking_water,ele,emergency,fee,fireplace,fixme,genus,geometry,height,highway,historic,indoor,information,int_name,internet_access,layer,leaf_cycle,leaf_type,leisure,level,lit,lockable,man_made,material,min_height,name,name:en,name:fr,name:ja,name:ja-Hira,name:ja-Latn,name:ja_kana,name:ja_rm,natural,nodes,note,note:ja,opening_hours,operator,passenger_information_display,picnic_table,place,playground,playground:theme,points,postcode,province,public_transport,railway,ref,roof,roof:colour,roof:material,roof:shape,room,seat,seats,shelter,shelter_type,smoking,source,source:geometry,source:landuse,source_ref,species,species:en,species:ja,sport,start_date,surface,table,taxon,toilets,toilets:access,tourism,train,type,ways,website,wheelchair,wikidata,wikipedia
"('node', 5390168653)",,,,shelter,,,,,"['40.4078172', '40.4131044', '141.4724542', '141.4809384']",,,,,,,,,八戸市,,,,,"八戸市, 青森県, 039-0812, 日本",,,,,,,,POINT (141.4725925 40.4107387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.4725925 40.4107387),039-0812,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 6992419074)",,,,shelter,,,,,[],,,,,,,,,,,,,,"休憩所, 国道45号, 蒼前西七丁目, 階上町, 三戸郡, 青森県, 0391212, 日本",,,,,,,,POINT (141.5739694 40.4752734),,,,,,,,,,,,,,,,,,休憩所,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5739694 40.4752734),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7023227699)",,,,shelter,,,,,[],,,,,,,,,,,,,,"休憩所, 名川階上線, 赤保内, 階上町, 三戸郡, 青森県, 039-1202, 日本",,,,,,,,POINT (141.6195384 40.4372301),,,,,,,,,,,,,,,,,,休憩所,,,,,,,,,,,,,,,,Aomori,,,POINT (141.6195384 40.4372301),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7525861435)",,,,shelter,,yes,yes,no,"['40.5020832', '40.5027722', '141.5090832', '141.5098558']",,,,,,,,,八戸市,,,,,"古川頭公園, 芸術ふれあいの道, 南類家四丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.509514 40.5022757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.509514 40.5022757),031-0001,青森県,,,,,,,,,,,,sun_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7564729245)",,,,shelter,,,,,"['40.5139753', '40.5171122', '141.5078555', '141.5168482']",,,,,,,,,八戸市,,,,,"小中野二丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.5088049 40.5143863),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5088049 40.5143863),031-0001,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7564729246)",,,,shelter,,,,,"['40.5143977', '40.5169356', '141.5075806', '141.5097093']",,,,,,,,,八戸市,,,,,"小中野二丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.508871 40.51528),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.508871 40.51528),031-0001,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7564729247)",,,,shelter,,,yes,,"['40.5141285', '40.5162544', '141.5071601', '141.5085461']",,,,,,,,,八戸市,,,,,"小中野二丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.5083662 40.5149206),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5083662 40.5149206),031-0001,青森県,,,,,,,,,,,,sun_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7565614518)",,,,shelter,,,yes,,"['40.508642', '40.509413', '141.4825576', '141.483456']",,yes,,,,,,,八戸市,,,,,"八戸市体育館, 妙売市線, 新荒町, 八戸市, 青森県, 031-0042, 日本",,,,,,,,POINT (141.4828633 40.5084963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.4828633 40.5084963),031-0042,青森県,,,,,,,,,,,,sun_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7572015444)",,,,shelter,,,yes,no,"['40.5224079', '40.522943', '141.5112897', '141.5137258']",,,,,,,,,八戸市,,,,,"小中野五丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.5120383 40.522504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5120383 40.522504),031-0001,青森県,,,,,,,,,,,,sun_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7572015447)",,,,shelter,,,,,"['40.5174756', '40.5183157', '141.5168706', '141.5182879']",,,,,,,,,八戸市,,,,,"ちぐさ公園, 柳橋通り, 諏訪一丁目, 八戸市, 青森県, 031-0032, 日本",,,,,,,,POINT (141.5182297 40.5180115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5182297 40.5180115),031-0032,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7572015458)",,,,shelter,,,yes,,"['40.5128214', '40.513704', '141.5158528', '141.5166341']",,,,,,,,,八戸市,,,,,"類家中央4号公園, 柳橋通り, 諏訪一丁目, 八戸市, 青森県, 031-0032, 日本",,,,,,,,POINT (141.5158883 40.5129759),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5158883 40.5129759),031-0032,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7572015461)",,,,shelter,,,yes,,"['40.510184', '40.511462', '141.5153188', '141.5169518']",,,,,,,,,八戸市,,,,,"類家中央5号公園, 八戸バイパス, 諏訪三丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.5160812 40.5114019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5160812 40.5114019),031-0001,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
